Log_Date,FROM,TO,COUNT
2016-03-21,49,10,6
2016-03-22,49,10,2
2016-03-23,49,10,2
2016-03-24,49,10,14
2016-03-26,49,10,3
2016-03-28,49,10,2
2016-03-29,49,10,4
2016-03-30,49,10,3
2016-03-31,49,10,3
2016-04-02,49,10,1
2016-04-03,49,10,1
2016-04-04,49,10,1
2016-04-05,49,10,2
2016-04-06,49,10,4
2016-04-07,49,10,3
2016-04-08,49,10,3
2016-04-09,49,10,6
2016-04-10,49,10,13
2016-04-11,49,10,15
2016-04-12,49,10,5
2016-04-13,49,10,3
2016-04-14,49,10,4
2016-04-15,49,10,7
2016-04-16,49,10,6
2016-04-17,49,10,12
2016-04-18,49,10,9
2016-04-19,49,10,3
2016-04-20,49,10,3
2016-04-21,49,10,1
2016-04-22,49,10,3
2016-04-23,49,10,3
2016-04-24,49,10,3
2016-04-25,49,10,5
2016-04-26,49,10,4
2016-04-27,49,10,5
2016-04-28,49,10,5
2016-04-29,49,10,4
2016-04-30,49,10,6
2016-05-01,49,10,5
2016-05-02,49,10,4
2016-05-03,49,10,7
2016-05-04,49,10,5
2016-05-05,49,10,6
2016-05-06,49,10,4
2016-05-07,49,10,8
2016-05-08,49,10,7
2016-05-09,49,10,6
2016-05-10,49,10,12
2016-05-11,49,10,5
2016-05-12,49,10,2
2016-05-13,49,10,11
2016-05-14,49,10,3
2016-05-15,49,10,8
2016-05-16,49,10,6
2016-05-17,49,10,5
2016-05-18,49,10,8
2016-05-19,49,10,3
2016-05-20,49,10,2
2016-05-21,49,10,7
2016-05-22,49,10,1
2016-05-23,49,10,1
2016-05-24,49,10,9
2016-05-25,49,10,11
2016-05-26,49,10,14
2016-05-28,49,10,7
2016-05-30,49,10,11
2016-05-31,49,10,10
2016-06-01,49,10,1
2016-06-02,49,10,5
2016-06-03,49,10,5
2016-06-05,49,10,6
2016-06-06,49,10,6
2016-06-07,49,10,3
2016-06-08,49,10,11
2016-06-09,49,10,1
2016-06-10,49,10,2
2016-06-11,49,10,4
2016-06-12,49,10,5
2016-06-13,49,10,6
2016-06-14,49,10,5
2016-06-15,49,10,2
2016-06-16,49,10,17
2016-06-17,49,10,7
2016-06-18,49,10,3
2016-06-19,49,10,10
2016-06-20,49,10,10
2016-06-21,49,10,7
2016-06-22,49,10,3
2016-06-23,49,10,7
2016-06-24,49,10,4
2016-06-25,49,10,14
2016-06-26,49,10,1
2016-06-27,49,10,3
2016-06-28,49,10,5
2016-06-29,49,10,17
2016-06-30,49,10,7
2016-07-01,49,10,11
2016-07-02,49,10,13
2016-07-03,49,10,13
2016-07-04,49,10,12
2016-07-05,49,10,11
2016-07-06,49,10,6
2016-07-07,49,10,3
2016-07-08,49,10,6
2016-07-09,49,10,9
2016-07-10,49,10,3
2016-07-11,49,10,7
2016-07-12,49,10,12
2016-07-13,49,10,24
2016-07-14,49,10,13
2016-07-15,49,10,6
