Log_Date,COUNT
2016-03-21,73
2016-03-22,52
2016-03-23,53
2016-03-24,52
2016-03-25,43
2016-03-26,61
2016-03-27,52
2016-03-28,52
2016-03-29,33
2016-03-30,39
2016-03-31,31
2016-04-01,24
2016-04-02,77
2016-04-03,57
2016-04-04,64
2016-04-05,66
2016-04-06,64
2016-04-07,47
2016-04-08,49
2016-04-09,93
2016-04-10,75
2016-04-11,73
2016-04-12,67
2016-04-13,54
2016-04-14,52
2016-04-15,40
2016-04-16,68
2016-04-17,62
2016-04-18,66
2016-04-19,66
2016-04-20,32
2016-04-21,45
2016-04-22,47
2016-04-23,84
2016-04-24,86
2016-04-25,66
2016-04-26,64
2016-04-27,62
2016-04-28,64
2016-04-29,53
2016-04-30,74
2016-05-01,66
2016-05-02,89
2016-05-03,75
2016-05-04,61
2016-05-05,59
2016-05-06,48
2016-05-07,72
2016-05-08,73
2016-05-09,58
2016-05-10,76
2016-05-11,71
2016-05-12,65
2016-05-13,41
2016-05-14,77
2016-05-15,80
2016-05-16,67
2016-05-17,79
2016-05-18,78
2016-05-19,73
2016-05-20,43
2016-05-21,75
2016-05-22,48
2016-05-23,102
2016-05-24,95
2016-05-25,103
2016-05-26,86
2016-05-27,50
2016-05-28,106
2016-05-29,101
2016-05-30,67
2016-05-31,92
2016-06-01,82
2016-06-02,68
2016-06-03,59
2016-06-04,65
2016-06-05,86
2016-06-06,81
2016-06-07,79
2016-06-08,97
2016-06-09,68
2016-06-10,74
2016-06-11,104
2016-06-12,88
2016-06-13,93
2016-06-14,83
2016-06-15,121
2016-06-16,84
2016-06-17,65
2016-06-18,105
2016-06-19,98
2016-06-20,73
2016-06-21,98
2016-06-22,106
2016-06-23,84
2016-06-24,74
2016-06-25,104
2016-06-26,109
2016-06-27,55
2016-06-28,94
2016-06-29,116
2016-06-30,84
2016-07-01,75
2016-07-02,120
2016-07-03,123
2016-07-04,95
2016-07-05,85
2016-07-06,70
2016-07-07,50
2016-07-08,66
2016-07-09,121
2016-07-10,117
2016-07-11,82
2016-07-12,87
2016-07-13,101
2016-07-14,90
2016-07-15,58
2016-07-16,105
2016-07-17,79
2016-07-18,87
2016-07-19,104
2016-07-20,88
2016-07-21,65
2016-07-22,53
2016-07-23,138
2016-07-24,88
2016-07-25,114
2016-07-26,102
2016-07-27,113
2016-07-28,81
2016-07-29,68
2016-07-30,76
2016-07-31,104
2016-08-01,107
2016-08-02,121
2016-08-03,105
2016-08-04,96
2016-08-05,59
2016-08-06,112
2016-08-07,94
2016-08-08,109
2016-08-09,111
2016-08-10,103
2016-08-11,92
2016-08-12,60
2016-08-13,138
2016-08-14,119
2016-08-15,118
2016-08-16,104
2016-08-17,105
2016-08-18,111
2016-08-19,68
2016-08-20,128
2016-08-21,129
2016-08-22,107
2016-08-23,111
2016-08-24,157
2016-08-25,94
2016-08-26,52
2016-08-27,117
2016-08-28,138
2016-08-29,143
2016-08-30,128
2016-08-31,135
2016-09-01,90
2016-09-02,99
2016-09-03,128
2016-09-04,124
2016-09-05,140
2016-09-06,141
2016-09-07,114
2016-09-08,87
2016-09-09,62
2016-09-10,100
2016-09-11,104
2016-09-12,78
2016-09-13,101
2016-09-14,110
2016-09-15,76
2016-09-16,68
2016-09-17,150
2016-09-18,114
2016-09-19,96
2016-09-20,69
2016-09-21,117
2016-09-22,67
2016-09-23,70
2016-09-24,133
2016-09-25,135
2016-09-26,129
2016-09-27,102
2016-09-28,134
2016-09-29,99
2016-09-30,62
2016-10-01,164
2016-10-02,131
2016-10-03,138
2016-10-04,125
2016-10-05,119
2016-10-06,114
2016-10-07,94
2016-10-08,120
2016-10-09,93
2016-10-10,116
2016-10-11,71
2016-10-12,61
2016-10-13,79
2016-10-14,62
2016-10-15,156
2016-10-16,149
2016-10-17,127
2016-10-18,131
2016-10-19,111
2016-10-20,92
2016-10-21,79
2016-10-22,161
2016-10-23,131
2016-10-24,133
2016-10-25,121
2016-10-26,118
2016-10-27,99
2016-10-28,94
2016-10-29,151
2016-10-30,131
2016-10-31,106
2016-11-01,125
2016-11-02,130
2016-11-03,122
2016-11-04,73
2016-11-05,145
2016-11-06,126
2016-11-07,104
2016-11-08,118
2016-11-09,122
2016-11-10,90
2016-11-11,40
2016-11-12,108
2016-11-13,138
2016-11-14,125
2016-11-15,131
2016-11-16,112
2016-11-17,75
2016-11-18,72
2016-11-19,107
2016-11-20,90
2016-11-21,113
2016-11-22,94
2016-11-23,81
2016-11-24,106
2016-11-25,73
2016-11-26,115
2016-11-27,76
2016-11-28,93
2016-11-29,111
2016-11-30,63
2016-12-01,67
2016-12-02,57
2016-12-03,124
2016-12-04,130
2016-12-05,136
2016-12-06,107
2016-12-07,123
2016-12-08,99
2016-12-09,84
2016-12-10,123
2016-12-11,150
2016-12-12,111
2016-12-13,140
2016-12-14,109
