Log_Date,FROM,TO,COUNT
2018-01-07,24,58,2
2018-01-09,24,58,1
2018-01-12,24,58,1
2018-01-13,24,58,2
2018-01-14,24,58,1
2018-01-15,24,58,2
2018-01-17,24,58,2
2018-01-18,24,58,7
2018-01-20,24,58,1
2018-01-21,24,58,1
2018-01-22,24,58,6
2018-01-25,24,58,2
2018-01-27,24,58,3
2018-01-28,24,58,4
2018-01-29,24,58,5
2018-02-02,24,58,1
2018-02-05,24,58,2
2018-02-06,24,58,1
2018-02-07,24,58,6
2018-02-08,24,58,1
2018-02-09,24,58,1
2018-02-10,24,58,2
2018-02-11,24,58,2
2018-02-12,24,58,2
2018-02-13,24,58,1
2018-02-14,24,58,3
2018-02-15,24,58,4
2018-02-17,24,58,1
2018-02-18,24,58,1
2018-02-19,24,58,1
2018-02-21,24,58,3
2018-02-22,24,58,2
2018-02-23,24,58,1
2018-02-25,24,58,1
2018-02-26,24,58,1
2018-03-01,24,58,1
2018-03-02,24,58,1
2018-03-07,24,58,4
2018-03-08,24,58,5
2018-03-10,24,58,3
2018-03-11,24,58,4
2018-03-12,24,58,1
2018-03-14,24,58,4
2018-03-17,24,58,1
2018-03-18,24,58,3
