Log_Date,FROM,TO,COUNT
2016-04-05,49,6,2
2016-04-17,49,6,1
2016-04-19,49,6,3
2016-05-02,49,6,1
2016-05-07,49,6,1
2016-05-16,49,6,2
2016-05-17,49,6,1
2016-06-07,49,6,1
2016-06-18,49,6,1
2016-06-19,49,6,1
2016-06-20,49,6,5
2016-06-22,49,6,1
2016-06-24,49,6,1
2016-06-29,49,6,1
2016-07-06,49,6,1
2016-07-07,49,6,3
2016-07-10,49,6,3
2016-07-28,49,6,1
2016-07-29,49,6,1
2016-07-31,49,6,1
2016-08-02,49,6,2
2016-08-08,49,6,1
2016-08-14,49,6,1
2016-08-17,49,6,2
2016-08-28,49,6,4
2016-09-01,49,6,1
2016-09-04,49,6,1
2016-09-06,49,6,1
2016-09-08,49,6,1
2016-09-10,49,6,2
2016-09-15,49,6,1
2016-09-16,49,6,1
2016-09-18,49,6,1
2016-09-19,49,6,1
2016-09-21,49,6,1
2016-09-22,49,6,2
2016-09-29,49,6,1
2016-10-01,49,6,1
2016-10-15,49,6,2
2016-10-19,49,6,1
2016-10-20,49,6,1
2016-10-24,49,6,1
2016-10-29,49,6,2
2016-11-02,49,6,2
2016-11-12,49,6,1
2016-11-14,49,6,1
2016-11-15,49,6,3
2016-11-22,49,6,1
2016-12-01,49,6,1
2016-12-03,49,6,3
2016-12-09,49,6,3
2016-12-16,49,6,1
2016-12-20,49,6,1
2016-12-21,49,6,1
2016-12-23,49,6,1
2016-12-27,49,6,2
2016-12-28,49,6,1
2016-12-30,49,6,1
2017-01-02,49,6,2
2017-01-05,49,6,1
2017-01-06,49,6,1
2017-01-07,49,6,1
2017-01-10,49,6,1
2017-01-11,49,6,3
2017-01-25,49,6,2
2017-01-28,49,6,1
2017-02-02,49,6,1
2017-02-05,49,6,3
2017-02-08,49,6,1
2017-02-10,49,6,3
2017-02-12,49,6,1
2017-02-18,49,6,1
2017-02-21,49,6,5
2017-03-05,49,6,1
2017-03-08,49,6,2
2017-03-09,49,6,1
2017-03-10,49,6,1
2017-03-15,49,6,1
2017-03-21,49,6,2
2017-03-29,49,6,1
2017-04-02,49,6,1
2017-04-03,49,6,2
2017-04-12,49,6,1
2017-04-13,49,6,2
2017-04-16,49,6,1
2017-04-25,49,6,1
2017-05-13,49,6,2
2017-05-14,49,6,1
2017-05-17,49,6,1
2017-06-28,49,6,2
2017-06-29,49,6,1
2017-07-01,49,6,4
2017-07-05,49,6,1
2017-07-08,49,6,2
2017-07-11,49,6,1
2017-07-18,49,6,1
2017-07-20,49,6,3
2017-07-27,49,6,1
2017-07-29,49,6,1
2017-07-31,49,6,4
2017-08-01,49,6,2
2017-08-06,49,6,1
2017-08-07,49,6,3
2017-08-09,49,6,1
2017-08-12,49,6,1
2017-08-14,49,6,1
2017-08-15,49,6,1
2017-08-21,49,6,2
2017-08-25,49,6,1
2017-08-29,49,6,1
2017-08-31,49,6,2
2017-09-01,49,6,1
2017-09-04,49,6,1
2017-09-17,49,6,3
2017-09-20,49,6,1
2017-09-23,49,6,1
2017-10-01,49,6,1
2017-10-05,49,6,2
2017-10-08,49,6,1
2017-10-16,49,6,1
2017-10-22,49,6,1
2017-10-23,49,6,1
2017-10-25,49,6,2
2017-10-26,49,6,1
2017-10-28,49,6,1
2017-10-31,49,6,1
2017-11-04,49,6,2
2017-11-05,49,6,1
2017-11-09,49,6,5
2017-11-10,49,6,3
2017-11-11,49,6,1
2017-11-13,49,6,3
2017-11-14,49,6,2
2017-11-15,49,6,2
2017-11-16,49,6,3
2017-11-17,49,6,2
2017-11-18,49,6,7
2017-11-24,49,6,1
2017-11-25,49,6,1
2017-11-26,49,6,1
2017-11-27,49,6,2
2017-11-28,49,6,1
2017-11-30,49,6,2
2017-12-01,49,6,1
2017-12-03,49,6,1
2017-12-05,49,6,1
2017-12-09,49,6,4
2017-12-10,49,6,1
2017-12-20,49,6,4
2017-12-23,49,6,2
2017-12-24,49,6,3
2017-12-28,49,6,1
2017-12-29,49,6,1
2017-12-31,49,6,1
2018-01-01,49,6,1
2018-01-02,49,6,2
2018-01-03,49,6,1
2018-01-04,49,6,1
2018-01-05,49,6,1
2018-01-06,49,6,3
2018-01-11,49,6,5
2018-01-21,49,6,1
2018-01-26,49,6,1
2018-02-01,49,6,1
2018-02-02,49,6,1
2018-02-03,49,6,2
2018-02-05,49,6,1
2018-02-06,49,6,1
2018-02-12,49,6,1
2018-02-14,49,6,2
2018-02-18,49,6,1
2018-02-22,49,6,1
2018-02-25,49,6,1
2018-02-28,49,6,3
2018-03-04,49,6,1
2018-03-05,49,6,1
2018-03-07,49,6,1
2018-03-10,49,6,1
2018-03-11,49,6,3
2018-03-12,49,6,5
2018-03-13,49,6,2
2018-03-19,49,6,4
2018-03-20,49,6,1
