Log_Date,FROM,TO,COUNT
2017-01-11,10,37,1
2017-01-16,10,37,1
2017-01-17,10,37,2
2017-01-21,10,37,4
2017-01-31,10,37,1
2017-02-01,10,37,1
2017-02-02,10,37,1
2017-02-09,10,37,1
2017-02-11,10,37,1
2017-02-12,10,37,1
2017-02-15,10,37,1
2017-02-18,10,37,1
2017-03-01,10,37,1
2017-03-07,10,37,1
2017-03-20,10,37,3
2017-04-24,10,37,1
2017-05-04,10,37,1
2017-05-15,10,37,2
2017-05-16,10,37,1
2017-05-27,10,37,1
2017-06-01,10,37,1
2017-06-04,10,37,2
2017-06-10,10,37,3
2017-06-18,10,37,1
2017-06-20,10,37,1
2017-06-21,10,37,1
2017-06-24,10,37,1
2017-06-27,10,37,2
2017-07-02,10,37,1
2017-07-31,10,37,1
2017-08-03,10,37,1
2017-09-13,10,37,1
2017-09-17,10,37,2
2017-09-22,10,37,1
2017-09-26,10,37,1
2017-09-28,10,37,1
2017-09-29,10,37,2
2017-10-12,10,37,1
2017-10-23,10,37,1
2017-10-28,10,37,5
2017-10-30,10,37,1
2017-10-31,10,37,1
2017-11-15,10,37,1
2017-11-19,10,37,1
2017-11-21,10,37,1
2017-12-05,10,37,3
2017-12-10,10,37,1
2017-12-12,10,37,1
2017-12-14,10,37,1
2017-12-16,10,37,2
2017-12-17,10,37,1
2017-12-23,10,37,1
2017-12-24,10,37,1
2018-01-04,10,37,1
2018-01-07,10,37,3
2018-01-10,10,37,1
2018-01-11,10,37,1
2018-01-12,10,37,1
2018-01-15,10,37,1
2018-01-21,10,37,1
2018-01-23,10,37,2
2018-01-28,10,37,1
2018-01-29,10,37,1
2018-01-31,10,37,1
2018-02-03,10,37,3
2018-02-04,10,37,1
2018-02-07,10,37,1
2018-02-08,10,37,1
2018-02-10,10,37,1
2018-02-11,10,37,1
2018-02-17,10,37,1
2018-02-18,10,37,1
2018-02-26,10,37,1
2018-03-03,10,37,1
2018-03-05,10,37,3
2018-03-06,10,37,1
2018-03-11,10,37,1
2018-03-13,10,37,1
2018-03-15,10,37,1
