Log_Date,FROM,TO,COUNT
2016-04-05,49,32,1
2016-04-06,49,32,1
2016-04-12,49,32,1
2016-04-13,49,32,1
2016-04-23,49,32,1
2016-04-29,49,32,1
2016-05-02,49,32,3
2016-05-10,49,32,1
2016-05-14,49,32,1
2016-05-15,49,32,1
2016-05-30,49,32,1
2016-06-07,49,32,1
2016-06-18,49,32,2
2016-06-19,49,32,1
2016-06-22,49,32,1
2016-06-23,49,32,2
2016-06-25,49,32,2
2016-06-27,49,32,2
2016-06-29,49,32,3
2016-07-06,49,32,7
2016-07-10,49,32,1
2016-07-17,49,32,1
2016-07-18,49,32,1
2016-07-19,49,32,1
2016-07-31,49,32,1
2016-08-02,49,32,1
2016-08-03,49,32,3
2016-08-04,49,32,1
2016-08-07,49,32,1
2016-08-08,49,32,1
2016-08-10,49,32,1
2016-08-17,49,32,1
2016-08-21,49,32,2
2016-08-25,49,32,1
2016-08-27,49,32,2
2016-09-03,49,32,2
2016-09-20,49,32,1
2016-09-22,49,32,1
2016-09-24,49,32,1
2016-09-26,49,32,1
2016-09-27,49,32,2
2016-10-02,49,32,1
2016-10-09,49,32,1
2016-10-16,49,32,1
2016-10-21,49,32,2
2016-10-22,49,32,1
2016-10-23,49,32,1
2016-10-25,49,32,1
2016-10-31,49,32,1
2016-11-05,49,32,3
2016-11-09,49,32,1
2016-11-11,49,32,1
2016-11-12,49,32,2
2016-11-20,49,32,2
2016-11-21,49,32,1
2016-11-24,49,32,2
2016-11-29,49,32,1
2016-12-09,49,32,1
2017-02-11,49,32,1
2017-02-12,49,32,4
2017-02-24,49,32,1
2017-02-28,49,32,3
2017-03-06,49,32,1
2017-03-15,49,32,2
2017-03-16,49,32,2
2017-03-18,49,32,2
2017-03-24,49,32,3
2017-04-04,49,32,4
2017-04-08,49,32,1
2017-04-10,49,32,1
2017-04-11,49,32,1
2017-04-24,49,32,1
2017-04-26,49,32,1
2017-04-27,49,32,1
2017-04-29,49,32,2
2017-05-02,49,32,1
2017-05-06,49,32,1
2017-05-12,49,32,3
2017-05-15,49,32,1
2017-05-21,49,32,1
2017-05-23,49,32,1
2017-05-27,49,32,1
2017-06-03,49,32,2
2017-06-04,49,32,2
2017-06-10,49,32,1
2017-06-21,49,32,2
2017-06-28,49,32,1
2017-06-30,49,32,3
2017-07-14,49,32,2
2017-07-21,49,32,1
2017-07-29,49,32,2
2017-07-30,49,32,1
2017-07-31,49,32,1
2017-08-07,49,32,2
2017-08-10,49,32,2
2017-09-09,49,32,1
2017-09-16,49,32,1
2017-10-10,49,32,2
2017-10-17,49,32,1
2017-10-22,49,32,1
2017-10-24,49,32,2
2017-10-31,49,32,1
2017-11-04,49,32,2
2017-11-06,49,32,2
2017-11-14,49,32,2
2017-11-15,49,32,4
2017-11-17,49,32,1
2017-11-28,49,32,1
2017-12-02,49,32,1
2017-12-04,49,32,1
2017-12-05,49,32,4
2017-12-10,49,32,1
2017-12-11,49,32,1
2017-12-17,49,32,1
2017-12-22,49,32,1
2017-12-23,49,32,1
2017-12-27,49,32,1
2017-12-28,49,32,3
2018-01-05,49,32,1
2018-01-22,49,32,2
2018-01-23,49,32,1
2018-01-26,49,32,1
2018-01-27,49,32,3
2018-01-28,49,32,3
2018-01-29,49,32,1
2018-02-03,49,32,1
2018-02-05,49,32,1
2018-02-28,49,32,1
