Log_Date,FROM,TO,COUNT
2016-03-22,70,19,3
2016-03-28,70,19,1
2016-04-03,70,19,1
2016-04-04,70,19,2
2016-04-06,70,19,1
2016-04-08,70,19,1
2016-04-11,70,19,1
2016-04-14,70,19,2
2016-04-15,70,19,1
2016-04-18,70,19,1
2016-04-20,70,19,1
2016-04-21,70,19,1
2016-04-23,70,19,2
2016-04-28,70,19,1
2016-04-30,70,19,1
2016-05-01,70,19,2
2016-05-08,70,19,1
2016-05-09,70,19,2
2016-05-14,70,19,1
2016-05-15,70,19,1
2016-05-21,70,19,1
2016-05-22,70,19,1
2016-05-25,70,19,3
2016-06-02,70,19,3
2016-06-08,70,19,1
2016-06-11,70,19,1
2016-06-12,70,19,1
2016-06-13,70,19,2
2016-06-15,70,19,2
2016-06-19,70,19,1
2016-06-20,70,19,2
2016-06-22,70,19,1
2016-06-27,70,19,1
2016-06-28,70,19,1
2016-07-02,70,19,1
2016-07-03,70,19,2
2016-07-08,70,19,1
2016-07-09,70,19,2
2016-07-10,70,19,1
2016-07-12,70,19,1
2016-07-13,70,19,1
2016-07-16,70,19,1
2016-07-17,70,19,1
2016-07-19,70,19,1
2016-07-20,70,19,2
2016-07-30,70,19,2
2016-08-01,70,19,1
2016-08-02,70,19,3
2016-08-06,70,19,7
2016-08-08,70,19,1
2016-08-11,70,19,4
2016-08-14,70,19,1
2016-08-15,70,19,1
2016-08-16,70,19,3
2016-08-20,70,19,3
2016-08-21,70,19,1
2016-08-22,70,19,2
2016-08-23,70,19,1
2016-08-25,70,19,1
2016-08-27,70,19,1
2016-08-29,70,19,2
2016-08-30,70,19,4
2016-08-31,70,19,4
2016-09-01,70,19,1
2016-09-03,70,19,1
2016-09-04,70,19,1
2016-09-07,70,19,3
2016-09-09,70,19,1
2016-09-10,70,19,5
2016-09-14,70,19,1
2016-09-16,70,19,1
2016-09-17,70,19,1
2016-09-19,70,19,1
2016-09-21,70,19,2
2016-09-23,70,19,4
2016-09-24,70,19,1
2016-09-25,70,19,3
2016-09-26,70,19,2
2016-09-27,70,19,1
2016-09-28,70,19,1
2016-09-29,70,19,1
2016-09-30,70,19,1
2016-10-01,70,19,2
2016-10-02,70,19,2
2016-10-03,70,19,1
2016-10-04,70,19,1
2016-10-05,70,19,1
2016-10-06,70,19,1
2016-10-08,70,19,3
2016-10-13,70,19,1
2016-10-14,70,19,1
2016-10-15,70,19,1
2016-10-22,70,19,1
2016-10-24,70,19,1
2016-10-28,70,19,1
2016-10-30,70,19,1
2016-10-31,70,19,3
2016-11-01,70,19,1
2016-11-02,70,19,2
2016-11-05,70,19,1
2016-11-06,70,19,2
2016-11-07,70,19,2
2016-11-08,70,19,2
2016-11-09,70,19,1
2016-11-11,70,19,6
2016-11-12,70,19,1
2016-11-13,70,19,1
2016-11-14,70,19,1
2016-11-15,70,19,3
2016-11-16,70,19,1
2016-11-17,70,19,2
2016-11-18,70,19,2
2016-11-19,70,19,3
2016-11-21,70,19,1
2016-11-22,70,19,1
2016-11-24,70,19,1
2016-11-25,70,19,2
2016-11-27,70,19,3
