Log_Date,FROM,TO,COUNT
2016-07-26,63,42,1
2016-08-28,63,42,2
2016-12-24,63,42,1
2016-12-27,63,42,1
2017-01-08,63,42,1
2017-01-18,63,42,1
2017-02-20,63,42,1
2017-03-02,63,42,1
2017-04-30,63,42,1
2017-05-01,63,42,1
2017-05-27,63,42,1
2017-06-03,63,42,1
2017-06-10,63,42,2
2017-06-13,63,42,1
2017-07-12,63,42,1
2017-07-16,63,42,1
2017-07-17,63,42,1
2017-07-19,63,42,1
2017-07-25,63,42,2
2017-07-30,63,42,2
2017-08-06,63,42,1
2017-08-14,63,42,1
2017-08-20,63,42,1
2017-08-21,63,42,1
2017-08-23,63,42,2
2017-08-24,63,42,6
2017-08-27,63,42,1
2017-09-23,63,42,3
2017-09-26,63,42,1
2017-10-05,63,42,1
2017-10-09,63,42,3
2017-10-18,63,42,1
2017-10-21,63,42,1
2017-10-23,63,42,1
2017-10-27,63,42,4
2017-10-29,63,42,2
2017-11-11,63,42,3
2017-11-12,63,42,3
2017-11-13,63,42,1
2017-11-15,63,42,2
2017-11-17,63,42,1
2017-11-19,63,42,2
2017-11-21,63,42,1
2017-11-23,63,42,5
2017-11-25,63,42,2
2017-12-02,63,42,2
2017-12-06,63,42,2
2017-12-07,63,42,2
2017-12-13,63,42,2
2017-12-16,63,42,1
2017-12-20,63,42,1
2017-12-27,63,42,2
2017-12-28,63,42,4
2018-01-02,63,42,3
2018-01-04,63,42,1
2018-01-07,63,42,1
2018-01-10,63,42,2
2018-01-11,63,42,1
2018-01-12,63,42,1
2018-01-24,63,42,1
2018-01-28,63,42,2
2018-01-31,63,42,4
2018-02-01,63,42,1
2018-02-03,63,42,2
2018-02-05,63,42,2
2018-02-07,63,42,1
2018-02-08,63,42,3
2018-02-09,63,42,1
2018-02-12,63,42,1
2018-02-13,63,42,4
2018-02-15,63,42,3
2018-02-16,63,42,1
2018-02-17,63,42,1
2018-02-19,63,42,1
2018-02-26,63,42,1
2018-03-03,63,42,1
2018-03-08,63,42,1
2018-03-14,63,42,2
2018-03-19,63,42,4
2018-03-20,63,42,1
